pl_name,disc_year,disc_pubdate,sy_dist,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_eqt,pl_insol,st_teff,st_mass,st_rad
WASP-39 b,2011,2011-07,213.98200000,Transit,4.05525900000,0.0486000000,14.23500000,88.98900000,,,5400.00,0.930000,0.895000
HAT-P-1 b,2006,2007-02,158.97900000,Transit,4.46543000000,0.0553000000,13.92157800,169.08556000,1306.00,,5975.00,1.133000,1.135000
HR 8799 d,2008,2008-11,41.24410000,Imaging,37000.00000000000,24.0000000000,13.00000000,3000.00000000,,,,1.500000,
HD 156279 b,2011,2012-02,36.19450000,Radial Velocity,131.05000000000,0.4950000000,,,,,5453.00,0.930000,
GJ 832 b,2008,2009-01,4.96435000,Radial Velocity,3507.00000000000,3.4600000000,,,,,,0.437474,0.441557
GJ 3470 b,2012,2012-10,29.42140000,Radial Velocity,3.33714000000,0.0348000000,4.20000000,14.00000000,615.00,,3600.00,0.541000,0.503000
WASP-62 b,2012,2012-10,175.63100000,Transit,4.41195300000,0.0567000000,15.58100000,181.15500000,,,6280.00,1.250000,1.280000
GJ 1214 b,2009,2009-12,14.64270000,Transit,1.58040482000,,2.27000000,6.43000000,,,,0.157000,0.210000
HD 24040 b,2006,2007-03,46.62240000,Radial Velocity,3668.00000000000,4.9200000000,,,,,,1.180000,
WASP-17 b,2009,2010-01,405.90800000,Transit,,,,168.13207000,,,,1.286000,
WASP-96 b,2014,2014-05,352.46400000,Transit,3.42526020000,0.0453000000,13.45000000,152.55000000,1285.00,,5540.00,1.060000,1.050000
HD 168443 c,2000,2001-07,39.62450000,Radial Velocity,1749.83000000000,2.8373000000,,,,,5491.00,0.995000,1.510000
HD 12661 c,2002,2003-04,37.84780000,Radial Velocity,1679.00000000000,2.8600000000,,,,,5655.00,1.000000,1.213770
HD 66428 b,2005,2006-07,53.28170000,Radial Velocity,1973.00000000000,3.1800000000,,,,,5752.00,1.100000,
HD 114783 b,2001,2002-03,21.06280000,Radial Velocity,496.90000000000,1.1690000000,,,,,5084.00,0.850000,0.839444
HD 187123 b,1998,1998-12,45.95480000,Radial Velocity,3.09700000000,0.0420000000,,,,,5830.00,1.000000,
HD 12661 b,2000,2001-04,37.84780000,Radial Velocity,262.70900000000,0.8310000000,,,,,5655.00,1.000000,1.213770
HD 168443 b,1998,1999-07,39.62450000,Radial Velocity,58.11212000000,0.3000000000,,,,,5551.00,0.980000,1.679350
HD 217107 b,1998,1999-01,20.06190000,Radial Velocity,7.12681600000,0.0748000000,,,,,5575.00,0.980000,1.199310
HAT-P-11 b,2008,2010-02,37.76470000,Transit,4.88781620000,0.0530000000,4.73000000,25.74300000,878.00,,4780.00,0.810000,0.750000
HD 217107 c,2005,2005-10,20.06190000,Radial Velocity,3352.00000000000,4.4100000000,,,,,5646.00,1.020000,
HD 68988 b,2001,2002-03,60.84470000,Radial Velocity,6.27600000000,0.0710000000,,,,,,1.200000,
HD 183263 b,2004,2005-01,54.19550000,Radial Velocity,634.23000000000,1.5200000000,,,,,5936.00,1.170000,
51 Eri b,2015,2015-00,29.75750000,Imaging,,13.2000000000,,635.66000000,700.00,,,1.750000,
WASP-43 b,2011,2011-11,86.74670000,Transit,0.81347436000,,,,,,4124.00,0.650000,0.757649
HR 8799 b,2008,2008-11,41.24410000,Imaging,170000.00000000000,68.0000000000,13.00000000,2000.00000000,,,,1.500000,
HR 8799 c,2008,2008-11,41.24410000,Imaging,,,11.20900000,,1200.00,,7204.58,1.610000,1.493380
HR 8799 e,2010,2010-12,41.24410000,Imaging,,,10.08810000,,1300.00,,7204.58,1.610000,1.493380
K2-25 b,2015,2016-02,44.95650000,Transit,3.48455200000,,3.43000000,,,,3180.00,0.294000,0.295000
HD 11506 b,2007,2007-11,51.26100000,Radial Velocity,1627.50000000000,2.7080000000,,,,,6055.00,1.240000,1.330000
HD 11506 c,2008,2009-03,51.26100000,Radial Velocity,223.60000000000,0.7210000000,,,,,6055.00,1.240000,1.330000
HD 183263 c,2008,2009-03,54.19550000,Radial Velocity,4684.00000000000,5.6900000000,,,,,5867.00,1.060000,1.291060
HD 187123 c,2008,2009-03,45.95480000,Radial Velocity,3324.00000000000,4.4170000000,,,,,5790.00,1.040000,1.150430
HD 27894 c,2017,2017-06,43.82140000,Radial Velocity,36.07000000000,0.1980000000,,,,,,0.800000,
HD 27894 d,2017,2017-06,43.82140000,Radial Velocity,5174.00000000000,5.4480000000,,,,,,0.800000,
HD 3167 b,2016,2016-09,47.28990000,Transit,0.95962800000,,1.80000000,,,,,,0.880000
HD 3167 c,2016,2016-09,47.28990000,Transit,29.83983500000,,3.00000000,,,,,,0.880000
HAT-P-11 c,2018,2018-06,37.76470000,Radial Velocity,3407.00000000000,4.1300000000,,,,,4780.00,0.809000,0.683000
KELT-7 b,2015,2015-07,136.68100000,Transit,2.73477000000,,17.93440000,441.78370000,,,6768.00,1.760000,1.810000
HD 27894 b,2005,2005-08,43.82140000,Radial Velocity,17.99040000000,0.1250000000,,,,,,,
WASP-103 b,2014,2014-02,375.64700000,Transit,,0.0197900000,18.45001400,467.21010000,2489.00,,,1.205000,1.413000
HD 3167 d,2017,2017-09,47.28990000,Radial Velocity,8.50900000000,0.0775700000,,,,88.9000,5261.00,0.860000,0.860000
HD 114783 c,2018,2016-04,21.06280000,Radial Velocity,4319.00000000000,,,,,,,0.853000,
HD 181234 b,2019,2019-05,47.74580000,Radial Velocity,7462.05750000000,7.5200000000,,,,,5386.00,1.010000,1.050000
HD 221420 b,2019,2019-06,31.14150000,Radial Velocity,22482.00000000000,18.5000000000,,,,,5830.00,1.670000,
HD 63433 c,2020,2020-10,22.40350000,Transit,20.54381533218,,2.57342831,,621.93,35.3582,5694.11,,0.902932
NGTS-10 b,2020,2020-03,,Transit,0.76689440000,0.0143000000,13.50684500,687.14846000,1332.00,,4600.00,0.696000,0.697000
HIP 67522 b,2020,2020-07,127.28000000,Transit,6.95950300000,,10.07000000,,1174.00,,5675.00,1.220000,1.380000
TOI-283 b,2025,2025-10,82.70130000,Transit,17.61746520000,,2.01411000,,610.00,23.0207,5250.00,,0.810000
HD 11506 d,2022,2022-09,51.26100000,Radial Velocity,14723.57452000000,12.2350000000,,2346.52712888,,,,1.120000,
HD 156279 c,2018,2016-04,36.19450000,Radial Velocity,4818.25358000000,5.4860000000,,3098.82696825,,,,0.940000,
